4 0.64147 0.67266 0.66818 0.66622 0.72043 0.78545 0.65075 0.72226 0.7984 0.80072 0.7026 0.73472 0.71395 0.79415 0.67673 0.60537 0.55982 0.55505 0.46562 0.49428 0.37704 0.27588 0.31131 0.31414 0.26421 0.27897 0.2875 0.35222 0.37434 0.34999 0.45285 0.5497 0.48418 0.56614 0.6697 0.66643 0.66384 0.51021 0.50919 0.49153 0.39777 0.29148 0.25813 0.2369 0.17235 0.12091 -0.06699 -0.061049 -0.061704 -0.23398 -0.25544 -0.18186 -0.26399 -0.29231 -0.29019 -0.40054 -0.4357 -0.53359 -0.60872 -0.59837 -0.63683 -0.68656 -0.60401 -0.65635
4.5 0.8465 0.88806 0.83596 0.81828 0.79042 0.84214 0.9438 0.9248 0.87491 0.81723 0.81279 0.77686 0.66923 0.57294 0.57926 0.56746 0.49819 0.4131 0.26037 0.1646 0.2585 0.23463 0.31378 0.36782 0.34198 0.29085 0.35791 0.37632 0.39871 0.44971 0.55695 0.6411 0.86244 0.92148 0.99745 0.93937 0.88766 0.81108 0.66553 0.54415 0.47793 0.36766 0.31667 0.2607 0.19146 0.062587 -0.034915 -0.20839 -0.27842 -0.38475 -0.50761 -0.65631 -0.74422 -0.80741 -0.83771 -0.79835 -0.72474 -0.69722 -0.83691 -0.9364 -0.84419 -0.72576 -0.61594 -0.50446
5 0.54744 0.62938 0.67393 0.67718 0.65961 0.66236 0.77151 0.75366 0.67713 0.63383 0.54995 0.41324 0.34908 0.25557 0.32479 0.30905 0.28789 0.083633 0.050328 -0.00218 0.081693 0.25889 0.27428 0.29486 0.3773 0.35448 0.26444 0.18371 0.20963 0.30872 0.36383 0.52702 0.69472 0.79478 0.79334 0.8571 0.79572 0.73734 0.5291 0.3834 0.29762 0.3513 0.31634 0.20839 0.073453 0.016037 -0.045021 -0.23167 -0.44849 -0.48964 -0.66875 -0.87378 -1.0159 -1.1015 -1.119 -1.0001 -0.89607 -0.76402 -0.68342 -0.73285 -0.71406 -0.5751 -0.4269 -0.26317
5.5 -0.001251 0.055752 0.1969 0.29634 0.37377 0.34337 0.26438 0.22454 0.19324 0.14052 0.10616 0.057718 0.043062 0.054516 -0.021221 -0.001419 -0.087571 -0.025388 -0.032738 0.029054 0.017693 0.10663 0.12956 0.14116 0.13002 0.17869 0.13315 0.073052 0.04358 0.11623 0.20852 0.23475 0.12897 0.13454 0.19104 0.25969 0.26855 0.20385 0.12077 -0.042559 -0.020609 -0.003159 -0.066111 -0.12004 -0.16053 -0.22906 -0.31856 -0.3497 -0.44311 -0.56627 -0.62005 -0.68181 -0.74496 -0.7713 -0.68879 -0.62387 -0.52815 -0.42184 -0.22838 -0.096513 -0.11461 -0.14317 -0.1694 -0.1349
6 -0.49266 -0.43807 -0.38064 -0.30353 -0.2181 -0.16826 -0.26987 -0.32806 -0.36049 -0.34023 -0.32071 -0.25784 -0.24931 -0.23818 -0.28629 -0.29273 -0.22011 -0.11706 -0.044788 -0.045341 -0.055326 -0.15561 -0.096263 -0.043739 -0.066361 -0.086148 -0.061986 -0.020311 -0.055739 -0.11842 -0.16422 -0.28869 -0.36755 -0.45959 -0.52925 -0.6164 -0.5752 -0.57079 -0.42924 -0.28176 -0.33679 -0.47165 -0.483 -0.44529 -0.43167 -0.49645 -0.50036 -0.4645 -0.41191 -0.44666 -0.39975 -0.25333 -0.11422 -0.025512 0.010191 0.026847 0.06524 0.13985 0.20253 0.38611 0.44962 0.28153 0.12342 -0.009552
6.5 -0.79631 -0.77622 -0.79147 -0.71769 -0.69128 -0.68663 -0.68765 -0.6548 -0.60676 -0.57603 -0.53467 -0.49858 -0.47409 -0.44147 -0.4222 -0.45818 -0.30627 -0.23448 -0.16562 -0.11395 -0.22726 -0.32375 -0.36017 -0.36739 -0.29717 -0.34114 -0.29727 -0.22846 -0.20469 -0.37454 -0.55608 -0.67231 -0.70198 -0.8169 -0.96191 -1.0539 -1.0845 -0.91381 -0.69446 -0.51345 -0.56439 -0.62584 -0.62792 -0.61028 -0.54985 -0.48428 -0.50116 -0.47371 -0.37778 -0.24198 -0.070848 0.081332 0.28703 0.48302 0.51346 0.5324 0.49214 0.42834 0.44738 0.36968 0.31223 0.29001 0.19675 0.098553
7 -0.84091 -0.93753 -0.86962 -0.88408 -0.88424 -0.87387 -0.77306 -0.76034 -0.71762 -0.73386 -0.67341 -0.58085 -0.4982 -0.49297 -0.42213 -0.35963 -0.39605 -0.37412 -0.30973 -0.35013 -0.29791 -0.34385 -0.48131 -0.5623 -0.5699 -0.46212 -0.46065 -0.48962 -0.5008 -0.49729 -0.56196 -0.6045 -0.72415 -0.75069 -0.77149 -0.78604 -0.75779 -0.65808 -0.63533 -0.62323 -0.48827 -0.41941 -0.46417 -0.48474 -0.43698 -0.28769 -0.18065 -0.14315 -0.096986 0.089504 0.23067 0.37488 0.43778 0.5319 0.61076 0.53446 0.47816 0.39349 0.20938 0.055938 -0.000695 0.066035 0.11317 0.052937
7.5 -0.71896 -0.73218 -0.80807 -0.84107 -0.87273 -0.84442 -0.76933 -0.73218 -0.75956 -0.66417 -0.64516 -0.63836 -0.56022 -0.51852 -0.44128 -0.3552 -0.40472 -0.38202 -0.42017 -0.37097 -0.32938 -0.27796 -0.34588 -0.41554 -0.53846 -0.50653 -0.47163 -0.51864 -0.52805 -0.42539 -0.36779 -0.33288 -0.37051 -0.37983 -0.34526 -0.30844 -0.2822 -0.35355 -0.46939 -0.49792 -0.31967 -0.14869 -0.058202 -0.023577 -0.059386 -0.050772 0.12781 0.2464 0.34324 0.37717 0.37638 0.36635 0.37465 0.23851 0.22324 0.19557 0.073288 -0.019689 -0.1408 -0.19341 -0.20081 -0.22886 -0.17216 -0.18237
8 -0.5373 -0.45372 -0.60173 -0.74524 -0.78488 -0.71874 -0.71122 -0.612 -0.53689 -0.50819 -0.50354 -0.50486 -0.56102 -0.40885 -0.39841 -0.3708 -0.30166 -0.35883 -0.38422 -0.32317 -0.2991 -0.25282 -0.15708 -0.16698 -0.15143 -0.28414 -0.26033 -0.19929 -0.22323 -0.21666 -0.12332 -0.1271 0.023778 0.023673 0.04876 0.11742 0.05895 -0.099583 -0.12329 -0.13237 -0.14881 -0.024194 0.12747 0.14889 0.15411 0.14236 0.16812 0.32402 0.42927 0.36407 0.30628 0.20683 0.059131 -0.058885 -0.26234 -0.28755 -0.30583 -0.37822 -0.37793 -0.35797 -0.30672 -0.28251 -0.37041 -0.37938
8.5 -0.090773 -0.19749 -0.25094 -0.3493 -0.3827 -0.4511 -0.42594 -0.3351 -0.24147 -0.26635 -0.25096 -0.27523 -0.23768 -0.31528 -0.2876 -0.30167 -0.23328 -0.24847 -0.23088 -0.29942 -0.24845 -0.17735 -0.058148 0.024964 0.092216 0.11254 0.055317 0.1233 0.2132 0.13567 0.12848 0.21455 0.21676 0.34623 0.42026 0.38872 0.34908 0.29579 0.24721 0.24711 0.10919 0.011757 -0.004301 0.084563 0.1721 0.14749 0.05337 0.068585 0.0553 0.094479 0.06645 -0.08235 -0.26655 -0.3659 -0.45187 -0.53265 -0.47807 -0.44139 -0.35041 -0.30842 -0.31899 -0.30516 -0.28182 -0.19002
